Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
SK Raina,Chennai Super Kings,115.13,-4.21,110.92,110.92,2013,2013,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2013
SK Trivedi,Rajasthan Royals,-1.2,232.02,230.82,230.82,2013,2013,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2013
SL Malinga,Mumbai Indians,-2.14,337.57,335.43,335.43,2013,2013,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2013
SP Narine,Kolkata Knight Riders,-1.17,740.01,738.84,738.85,2013,2013,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2013
SR Tendulkar,Mumbai Indians,0.02,0,0.02,0.02,2013,2013,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2013
SR Watson,Rajasthan Royals,83.23,162.07,245.3,245.3,2013,2013,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2013
STR Binny,Rajasthan Royals,40.45,186.22,226.67,226.67,2013,2013,STR Binny|Rajasthan Royals,STR Binny|Rajasthan Royals|2013
SV Samson,Rajasthan Royals,-4.61,0,-4.61,-4.61,2013,2013,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2013
UT Yadav,Delhi Daredevils,1.46,25.3,26.76,26.76,2013,2013,UT Yadav|Delhi Daredevils,UT Yadav|Delhi Daredevils|2013
V Kohli,Royal Challengers Bangalore,93.66,0,93.66,93.66,2013,2013,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2013
V Sehwag,Delhi Daredevils,7.91,0.39,8.3,8.3,2013,2013,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2013
YK Pathan,Kolkata Knight Riders,26.21,28.26,54.47,54.47,2013,2013,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2013
Yuvraj Singh,Pune Warriors,10.92,54.65,65.57,65.57,2013,2013,Yuvraj Singh|Pune Warriors,Yuvraj Singh|Pune Warriors|2013
AB de Villiers,Royal Challengers Bangalore,56.95,0,56.95,56.95,2014,2014,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2014
AJ Finch,Sunrisers Hyderabad,-30.31,0,-30.31,-30.31,2014,2014,AJ Finch|Sunrisers Hyderabad,AJ Finch|Sunrisers Hyderabad|2014
AM Rahane,Rajasthan Royals,-33.1,0,-33.1,-33.1,2014,2014,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2014
